Crop Name,Year,Season,State,Area (Ha),Production (Tonnes),Inflation Rate (%),Production Cost (Per Tonne),Market Price (per Tonne),Supply (Tonnes),Demand (Tonnes),Import Volume (tonnes),Export Volume (tonnes),Interest Rate (%),Yield,Profit Margin (%),Category
Rice,2018,Kharif     ,Puducherry,66716.64,54547.5329,9.5157,31596.3823,92882.0493,57272.9031,44773.1145,42845.5596,44146.349,8.8464,0.8148,32.9994,direct
Rice,2018,Rabi       ,Puducherry,80742.87,180176.5688,7.9443,40399.8404,39525.4436,31845.973,45576.1775,40949.035,54552.5672,10.4372,2.231,99.1437,wholesale
Rice,2018,Summer     ,Puducherry,177322.67,230049.2934,0.0582,46120.5609,44309.5612,66146.6474,77486.5003,73939.3946,60525.5653,11.8049,1.2998,100.9673,retail
Sesamum,2018,Kharif     ,Puducherry,116291.63,221852.9583,4.2292,51089.2501,96938.599,33511.1914,30128.3067,44092.2424,17164.1403,8.4099,1.9109,51.119,direct
Sesamum,2018,Rabi       ,Puducherry,53297.08,372826.3385,7.6824,48191.0065,43148.3548,18033.0663,31955.195,37742.0016,43904.9548,14.3172,6.9937,97.5044,wholesale
Sesamum,2018,Summer     ,Puducherry,57247.39,404230.331,0.0097,31822.8676,48497.7787,58653.8242,52802.8521,11976.9198,15904.5759,12.0668,7.0616,57.2882,retail
Small millets,2018,Kharif     ,Puducherry,50137.56,408906.6331,4.462,55724.9577,32414.7519,49801.8661,44040.4832,25775.1601,117444.0498,10.961,8.1577,150.0784,direct
Sugarcane,2018,Kharif     ,Puducherry,110171.74,329276.3746,4.7433,53285.7375,36747.7128,41990.6404,38625.2836,6965.5409,44468.9225,8.9725,2.9876,126.585,wholesale
Sweet potato,2018,Kharif     ,Puducherry,185372.57,305327.9379,1.2319,54443.5489,35775.7049,88871.691,21003.2742,35408.589,124805.6708,12.513,1.649,132.8512,retail
Tapioca,2018,Kharif     ,Puducherry,158650.12,287351.733,6.402,49294.0711,50910.8865,65361.0444,71751.9864,27714.549,82709.9115,13.5509,1.8139,84.5258,direct
Tapioca,2018,Rabi       ,Puducherry,189124.68,26344.4434,8.3905,58123.6028,79245.4789,20338.4362,27596.5097,65886.1539,25312.2761,10.3887,0.1358,71.1495,wholesale
Turmeric,2018,Kharif     ,Puducherry,161261.38,389580.5859,6.1013,35702.7318,38444.9412,50545.0316,30458.2134,26481.0388,52590.5676,9.2635,2.4153,81.0726,retail
Urad,2018,Kharif     ,Puducherry,154316.41,380579.0344,7.9637,19716.0842,68496.8313,45824.9534,63399.8208,8946.7659,92716.5673,14.4627,2.4638,25.1327,direct
Urad,2018,Rabi       ,Puducherry,27608.15,332760.0714,1.2125,26682.7503,61881.0142,44934.0569,23256.2738,11774.2771,125087.1648,14.7537,12.0571,37.6457,wholesale
Urad,2018,Summer     ,Puducherry,57908.18,83003.1328,7.081,29713.1079,87309.6418,49121.5469,39505.2967,47280.7488,39649.1186,10.8155,1.4356,33.0091,retail
Arecanut,2018,Rabi       ,Assam,171313.58,426035.5139,1.5617,47595.0967,36871.8534,58966.6201,80024.1173,54471.0872,31874.4037,12.4451,2.4832,112.6849,direct
Arhar/Tur,2018,Kharif     ,Assam,32666.62,267580.9602,8.8561,49343.8321,62613.5776,79302.544,57159.6847,53750.8428,129730.5354,11.6982,8.1868,68.8021,wholesale
Banana,2018,Whole Year ,Assam,93889.9,335420.8105,1.0476,57170.1316,72446.7877,44135.7663,59032.8711,47709.7992,82137.3593,12.8428,3.5696,68.8894,retail
Black pepper,2018,Whole Year ,Assam,84325.16,393848.3046,5.5969,28421.9797,49383.3984,71659.0992,84050.7231,13585.6551,93192.9246,9.9425,4.6754,50.246,direct
Castor seed,2018,Kharif     ,Assam,155703.65,430469.6167,6.9646,39061.1143,41976.4202,68340.8359,65164.9589,53947.8692,131458.9978,9.0501,2.7645,81.2375,wholesale
Coconut ,2018,Whole Year ,Assam,159463.84,64223.0501,4.85,20456.2427,71809.6723,67151.645,40172.5985,43307.2408,33750.5486,8.7785,0.4074,27.6353,retail
Cotton(lint),2018,Kharif     ,Assam,168577.41,332542.1124,1.3192,38597.7453,41265.8564,13407.2818,12757.7989,7062.2887,46304.4923,10.8737,1.9691,81.6546,direct
Dry chillies,2018,Whole Year ,Assam,26781.41,238198.5835,6.014,26054.4037,90608.5924,42177.4139,46866.8983,77979.0857,40837.6208,9.7873,8.8949,27.8875,wholesale
Ginger,2018,Whole Year ,Assam,87562.83,382675.3596,7.6339,39124.6299,42859.9641,80118.6535,38462.6728,60145.9849,35830.4808,12.4451,4.3747,79.6952,retail
Gram,2018,Rabi       ,Assam,120499.31,432803.6695,3.4629,39289.8209,56681.7366,57615.963,47388.5449,26705.458,51703.2698,8.8561,3.589,60.5086,direct
Jute,2018,Kharif     ,Assam,181211.67,339678.4897,0.4559,53505.5589,40572.3452,71118.7995,22027.3323,35771.6018,63529.8687,10.7961,1.8721,115.1293,wholesale
Linseed,2018,Rabi       ,Assam,173960.93,346222.4783,7.7212,56472.2748,64310.2434,14742.9718,66413.0773,39670.3228,130559.0221,11.4363,1.9885,76.6591,retail
Maize,2018,Kharif     ,Assam,107510.11,250469.5297,2.328,42839.9142,57011.1874,13496.9874,21349.7776,31078.315,37106.2733,11.2714,2.328,65.6011,direct
Masoor,2018,Rabi       ,Assam,149780.17,331538.3952,0.6208,28968.5262,77569.7845,66967.442,48357.2839,20350.5515,35568.4838,13.871,2.2116,32.6017,wholesale
Mesta,2018,Kharif     ,Assam,127990.44,380857.6572,6.6154,44558.0849,48849.1515,18055.7837,15174.8643,39965.2804,87490.6826,10.5342,2.9779,79.6273,retail
Moong(Green Gram),2018,Rabi       ,Assam,77504.78,16775.5292,7.4108,21299.7062,44521.2346,26982.5288,59091.1584,86604.9562,85117.4224,13.1144,0.2134,46.4048,direct
Niger seed,2018,Kharif     ,Assam,166649.21,411780.9759,2.7548,47501.5305,48589.2206,83025.0354,55557.3514,8054.9673,93163.0195,14.6761,2.4735,85.3503,wholesale
Onion,2018,Whole Year ,Assam,168186.73,328732.2822,4.2098,54484.8515,76437.4841,84704.571,40963.3328,36128.1156,107379.3589,14.3075,1.9594,62.2255,retail
Other  Rabi pulses,2018,Rabi       ,Assam,103700.85,442113.681,3.1622,44627.4011,59253.2454,41189.8278,40884.7143,30552.9339,61466.572,9.312,4.268,65.7466,direct
Peas & beans (Pulses),2018,Rabi       ,Assam,22745.49,352320.4997,4.9664,34597.1549,50481.9719,88422.5228,48900.9107,20776.0517,67603.083,11.0677,15.4909,59.8296,wholesale
Potato,2018,Whole Year ,Assam,148675.55,86490.2246,2.6384,46492.1291,72434.3329,19488.5901,56482.4695,11823.9605,19519.6883,10.5245,0.582,62.2643,retail
Rapeseed &Mustard,2018,Rabi       ,Assam,89190.72,230845.9932,2.134,41939.1431,84562.7861,24466.8144,73283.6649,85010.2277,48379.1089,7.7988,2.5899,48.112,direct
Rice,2018,Autumn     ,Assam,158374.1,220889.7192,1.8236,24909.8619,55069.8973,76542.0598,72318.0202,71615.8081,31662.2841,11.3296,1.3968,43.8731,wholesale
Rice,2018,Summer     ,Assam,174970.7,203900.6833,3.9964,21677.3466,44758.9331,75726.0279,49044.9945,50961.0064,67207.8856,8.0316,1.164,46.9771,retail
Rice,2018,Winter     ,Assam,162855.9,402345.2718,5.2962,21302.4998,37381.2877,91099.7422,78177.3634,56504.4691,42797.1081,8.7009,2.4735,49.7513,direct
Sesamum,2018,Kharif     ,Assam,131505.45,135352.442,6.1304,31172.308,88251.1723,41779.5005,57434.8834,62036.5149,20018.1713,12.61,1.0282,34.2604,wholesale
Small millets,2018,Kharif     ,Assam,101685.44,161416.9725,5.0731,29280.6334,47130.0108,52551.0692,53038.9695,15736.0966,40663.9617,12.5906,1.5908,60.2661,retail
Sugarcane,2018,Whole Year ,Assam,98269.84,222611.5565,2.8615,47152.9707,90577.6785,43448.5407,27786.8237,89766.71,72264.1949,11.2908,2.2698,50.4982,direct
Sweet potato,2018,Whole Year ,Assam,67567.63,209050.2484,8.3032,20550.8177,86648.936,45561.3171,64344.9112,59985.6342,95519.4987,11.9698,3.0943,23.0084,wholesale
Tapioca,2018,Whole Year ,Assam,77728.41,384545.1122,7.7697,44747.0797,46256.9526,49242.1858,56929.8529,59469.0316,35864.1592,8.7882,4.947,84.4482,retail
Tobacco,2018,Whole Year ,Assam,44003.92,123152.8878,3.0167,49952.5265,88347.309,39609.7172,22960.9088,48247.5963,93104.48,9.8649,2.8033,54.8438,direct
Turmeric,2018,Whole Year ,Assam,43805.87,299047.5468,2.8324,48708.0262,45684.1094,85560.0916,44513.5231,60218.9871,133052.1355,10.1268,6.8288,93.0812,wholesale
Urad,2018,Rabi       ,Assam,151108.22,332189.6532,0.6111,27050.1863,50832.7142,62368.3519,22851.5025,59147.6124,70169.3732,12.6585,2.2019,46.4533,retail
Wheat,2018,Rabi       ,Assam,162415.3,344481.2992,6.5863,33580.7986,60427.4304,34646.3921,81176.1378,36195.2687,74359.23,9.215,2.1243,48.5097,direct
Arecanut,2018,Rabi       ,Meghalaya,127688.23,408563.4665,1.3095,38906.5448,71991.1593,23421.0283,35658.6841,38302.6907,37832.231,8.9046,3.201,47.1808,wholesale
Arhar/Tur,2018,Kharif     ,Meghalaya,116130.88,275075.316,5.82,46736.8892,75724.8639,75532.6875,33555.4913,18125.3133,82489.1104,10.5245,2.3668,53.8835,retail
Banana,2018,Kharif     ,Meghalaya,134201.98,297613.9256,9.3799,34054.4787,77481.4175,85118.9647,72242.2244,16642.7653,66552.961,13.3181,2.2213,38.3732,direct
Black pepper,2018,Rabi       ,Meghalaya,155511.49,66817.8583,0.6014,56931.531,49891.1352,12931.1476,22068.8677,46252.8883,17488.0233,9.7679,0.4268,110.6867,wholesale
Cashewnut,2018,Rabi       ,Meghalaya,132108.04,165723.5203,3.7054,20350.794,40866.3813,73991.2411,20628.3207,88977.1882,75549.8856,10.3208,1.2513,48.306,retail
Castor seed,2018,Rabi       ,Meghalaya,98501.01,29145.1923,2.3668,41169.6227,89401.796,64781.6828,18394.2167,62422.4585,42336.329,12.028,0.3007,44.6685,direct
Coriander,2018,Whole Year ,Meghalaya,46225.17,452993.0943,4.5881,56588.927,78316.1607,12912.8243,12612.1631,47860.1007,51301.4279,9.2635,9.797,63.0791,wholesale
Cotton(lint),2018,Kharif     ,Meghalaya,57761.13,297146.6766,2.6287,30993.4303,64970.2993,42108.282,31110.2086,34169.7438,101373.7106,10.2723,5.141,41.6421,retail
Cowpea(Lobia),2018,Rabi       ,Meghalaya,178798.56,291560.8443,6.3341,56439.45,42374.1008,37288.7982,68311.4449,8184.375,84985.8128,14.4336,1.6296,116.2739,direct
Dry chillies,2018,Whole Year ,Meghalaya,49370.43,67263.5151,4.2292,51315.6966,46920.4617,44851.151,19983.0476,86518.5777,20900.4445,11.5818,1.358,106.0889,wholesale
Ginger,2018,Kharif     ,Meghalaya,157632.63,20182.8967,2.0176,27965.5462,65415.4226,32521.2094,69426.0913,16541.5555,45375.4166,13.0271,0.1261,41.4675,retail
Gram,2018,Rabi       ,Meghalaya,68328.31,276957.9987,7.2362,32026.1117,57358.0594,18029.2833,20752.5486,49353.9007,126225.9157,8.827,4.0546,48.7425,direct
Jute,2018,Kharif     ,Meghalaya,104211.89,113578.9781,3.1525,43149.7516,66964.2216,43179.3172,48127.0544,26154.8472,15654.8882,11.0774,1.0864,62.5068,wholesale
Linseed,2018,Rabi       ,Meghalaya,63037.43,442805.3201,5.3447,45748.1003,53018.7547,88031.4285,35262.0414,52544.706,101227.8517,11.2229,7.0228,75.3302,retail
Maize,2018,Kharif     ,Meghalaya,118212.33,304914.4754,0.679,47892.9546,36627.297,80517.7115,12625.3454,12613.2883,69827.1378,11.4169,2.5802,114.1496,direct
Masoor,2018,Rabi       ,Meghalaya,111189.91,365971.7074,7.0907,29576.9199,73555.7499,92139.5046,83876.0746,57898.5337,139118.273,8.9143,3.2883,35.1043,wholesale
Mesta,2018,Kharif     ,Meghalaya,145358.87,183306.0992,6.8676,33762.6639,75602.5566,74281.1741,42348.2212,62082.7063,77362.8932,11.8243,1.261,43.3202,retail
Onion,2018,Rabi       ,Meghalaya,179520.28,112687.8779,0.1164,50841.7061,50487.9471,68860.397,57550.294,59766.5403,94630.9399,12.61,0.6305,97.679,direct
Peas & beans (Pulses),2018,Rabi       ,Meghalaya,71210.58,222415.5874,2.1243,21073.2015,59089.199,54418.0088,37343.4577,74701.7855,65560.9517,10.1171,3.1234,34.5902,wholesale
Potato,2018,Summer     ,Meghalaya,113739.64,134230.2975,0.7857,23578.0907,73986.1001,73984.5287,40888.0026,11056.0406,47253.1135,10.2238,1.1834,30.9139,retail
Potato,2018,Winter     ,Meghalaya,113641.54,152697.8171,6.1789,40966.7181,77792.8845,68646.1046,77096.3372,36426.9726,43192.3249,8.8561,1.3483,51.0802,direct
Rapeseed &Mustard,2018,Rabi       ,Meghalaya,28880.43,460324.0633,0.3977,56194.1467,37566.3831,62270.1394,54250.9845,7633.2986,40920.1581,10.3111,15.9371,130.5911,wholesale
Rice,2018,Autumn     ,Meghalaya,65212.77,293597.6891,4.8015,32411.0271,40074.5218,93169.0529,82293.7524,9838.6906,115389.1242,9.1083,4.5008,70.6063,retail
Rice,2018,Rabi       ,Meghalaya,23776.68,408991.5469,9.0016,49257.9289,70046.5518,59937.1148,67758.9038,15719.4029,83149.0014,12.125,17.1981,61.3913,direct
Rice,2018,Winter     ,Meghalaya,131934.46,278719.703,8.8852,27388.0567,70021.099,32353.3218,68936.0861,11307.9108,45849.6108,11.6788,2.1146,34.144,wholesale
Sesamum,2018,Rabi       ,Meghalaya,130578.86,376365.6745,1.8624,29927.6913,51835.0346,28800.5028,82288.6017,42192.9436,130336.3004,12.8428,2.8809,50.4012,retail
Small millets,2018,Rabi       ,Meghalaya,192489.16,108768.9324,0.6208,21861.4332,42148.4109,47922.3068,49057.2844,26006.6118,60804.5664,10.3499,0.5626,50.3139,direct
Soyabean,2018,Kharif     ,Meghalaya,196175.44,370214.4098,9.6224,44054.9556,39291.5669,64751.6613,14998.9257,17757.8385,91490.9044,12.7652,1.8915,97.8827,wholesale
Sugarcane,2018,Whole Year ,Meghalaya,121778.59,161575.8585,9.6612,31883.9,63799.8973,58375.0462,44605.9544,44135.3492,80486.8946,12.5615,1.3289,48.4709,retail
Sweet potato,2018,Kharif     ,Meghalaya,132235.29,428991.3076,0.9506,38541.204,69828.6219,75639.4845,47006.5492,9801.5978,65127.7982,9.3508,3.2398,48.1799,direct
Tapioca,2018,Kharif     ,Meghalaya,183957.89,38599.5495,3.8315,29612.6741,70616.6596,64986.2655,45113.827,36330.2733,23332.8844,7.7891,0.2134,40.6721,wholesale
Tobacco,2018,Rabi       ,Meghalaya,13144.66,423001.1405,1.2804,23452.9025,38421.8552,30168.2804,78737.6063,30375.9671,47201.6938,12.6585,32.1846,53.2918,retail
Turmeric,2018,Whole Year ,Meghalaya,20851.89,196608.2718,3.0846,22246.7366,96656.4939,56061.9357,32889.7512,55213.5349,91831.355,12.7167,9.4284,22.3294,direct
Wheat,2018,Rabi       ,Meghalaya,150804.75,266440.5603,3.9285,41774.0879,48748.5819,18975.1982,81433.3527,56530.0965,130752.2267,12.6488,1.7654,74.8064,wholesale
Arecanut,2018,Whole Year ,Goa,115477.72,450146.2316,2.6772,33076.0591,68134.1483,29289.8872,82426.7588,49810.1305,42236.8361,9.8261,3.8994,42.3793,retail
Banana,2018,Whole Year ,Goa,178535.36,247887.3315,4.6463,25314.1385,36708.1368,92273.869,11946.9371,30978.2401,111717.7518,14.1135,1.3871,60.1982,direct
Black pepper,2018,Whole Year ,Goa,55851.44,132845.8747,7.0907,43882.8679,81121.3813,67931.2825,24327.2314,77624.4925,93069.8316,12.1832,2.3765,52.477,wholesale
Cashewnut,2018,Whole Year ,Goa,81825.88,60644.885,5.8394,43357.545,90728.1837,71348.8447,22741.5433,78468.5962,86055.7325,8.5845,0.7372,46.3563,retail
Coconut ,2018,Whole Year ,Goa,158262.01,147902.6124,3.007,24866.9879,87075.2122,44938.3928,50262.2669,37325.2217,73106.8824,12.1929,0.9312,27.7032,direct
Groundnut,2018,Kharif     ,Goa,99066.35,59057.4024,0.2522,33130.738,80997.1631,40605.0245,16041.0452,12434.5658,82165.3632,12.222,0.5917,39.673,wholesale
Groundnut,2018,Rabi       ,Goa,151731.42,44090.7098,7.9152,47862.1183,43380.7571,23622.0802,29951.5145,95434.3036,11079.049,10.67,0.291,107.0201,retail
Other  Rabi pulses,2018,Rabi       ,Goa,43537.3,432030.434,5.141,57110.3602,42628.9974,29193.8863,63861.4341,6493.8784,14004.2198,8.6039,9.9231,116.9529,direct
Other Kharif pulses,2018,Kharif     ,Goa,133237.26,225110.9652,5.0828,31094.3491,56730.2948,16286.8529,36016.0612,86324.5874,29257.7802,13.5606,1.6878,53.1657,wholesale
Rice,2018,Kharif     ,Goa,55614.7,162632.9451,9.3993,30283.1478,76847.8523,32315.8992,22741.5045,23080.7135,64365.0484,7.8764,2.9197,38.2277,retail
Rice,2018,Rabi       ,Goa,36462.86,450006.9008,5.5872,44451.7535,46129.5625,15942.2895,56271.5624,38903.7027,60006.5668,8.6815,12.3384,84.1281,direct
Sugarcane,2018,Whole Year ,Goa,83414.14,471876.579,9.1859,47759.2498,53447.4365,36810.6173,83978.4484,41277.1375,17278.6779,12.8525,5.6551,78.0074,wholesale
Sweet potato,2018,Whole Year ,Goa,25612.18,416397.0895,9.5642,25193.8391,42230.5602,51918.3382,72119.5194,13834.5862,41621.0413,14.2881,16.2572,52.0793,retail
other oilseeds,2018,Whole Year ,Goa,81529.97,22933.5548,4.8209,57534.1823,68460.078,76642.0668,23810.8034,25230.1268,55845.2474,13.3569,0.2813,81.5188,direct
Arecanut,2018,Whole Year ,Karnataka,192306.73,79283.2798,8.8852,41578.3225,52661.8238,44161.3355,69915.5242,42315.8523,29819.5557,8.1577,0.4171,76.5815,wholesale
Arhar/Tur,2018,Kharif     ,Karnataka,118702.5,80534.2015,6.3438,25342.5789,73474.4057,50485.2311,19232.2482,89191.3739,22269.0078,9.0016,0.679,33.4553,retail
Bajra,2018,Kharif     ,Karnataka,33157.81,185837.8671,9.2926,31348.0429,93913.2272,20036.3782,18213.9422,53723.4597,87227.6574,12.2026,5.6066,32.3786,direct
Bajra,2018,Summer     ,Karnataka,115835.57,246170.868,1.2901,45929.0829,76585.38,12584.3823,71953.1741,37789.2115,25570.6841,9.3799,2.1243,52.3509,wholesale
Black pepper,2018,Whole Year ,Karnataka,118550.84,455769.6223,1.9594,38152.3019,76425.2427,35451.9383,35502.6111,30834.8062,126101.7751,10.5051,3.8412,43.5821,retail
Cardamom,2018,Whole Year ,Karnataka,100727.59,62069.8635,6.7512,25441.6256,69409.2618,25962.0015,55619.0143,39044.9929,45255.3403,8.3323,0.6208,35.5505,direct
Cashewnut,2018,Whole Year ,Karnataka,131225.08,329231.9195,0.097,46562.2504,55367.212,68161.8418,64017.6817,29049.2981,34016.93,10.3596,2.5123,73.4193,wholesale
Castor seed,2018,Kharif     ,Karnataka,75435.17,261522.1462,1.9982,21607.1962,68037.4975,18498.2395,15181.3051,43442.42,137303.2575,11.0289,3.4629,27.7226,retail
Coconut ,2018,Whole Year ,Karnataka,108836.45,220857.3212,2.6481,30788.8961,83524.7018,19439.2753,23883.0781,80302.7595,88195.9696,7.7794,2.0273,35.7542,direct
Coriander,2018,Whole Year ,Karnataka,168833.16,318127.3304,0.1164,54320.0582,33018.5672,18923.6136,29737.3773,9692.9772,14852.6982,13.0271,1.8818,143.6182,wholesale
Cotton(lint),2018,Kharif     ,Karnataka,14658.12,287723.1654,2.8421,27271.9283,61918.9897,61766.6997,81025.6326,52131.5636,132687.6871,11.2326,19.6328,38.4508,retail
Cotton(lint),2018,Rabi       ,Karnataka,198467.43,209656.5566,1.1834,56856.2784,60380.9286,33176.6772,17065.0451,44102.1752,72271.2468,10.5439,1.0573,91.3352,direct
Cowpea(Lobia),2018,Kharif     ,Karnataka,46031.26,222087.3297,0.3492,56682.1052,77090.0904,67385.8806,11456.573,33361.598,92348.0061,10.5536,4.8209,71.3241,wholesale
Cowpea(Lobia),2018,Rabi       ,Karnataka,195852.52,146674.6312,1.0961,48064.1887,55875.0458,54099.0243,47345.6224,11631.5901,64328.7898,12.9883,0.7469,83.4394,retail
Cowpea(Lobia),2018,Summer     ,Karnataka,144195.35,433055.0644,7.2168,57999.5301,37309.0712,18163.444,30230.6611,55465.667,37244.5177,9.5254,3.007,135.7127,direct
Dry chillies,2018,Kharif     ,Karnataka,133513.92,165253.3419,7.857,53604.1691,95499.41,36041.6886,75179.5202,73393.8084,11688.3545,11.9407,1.2416,54.4461,wholesale
Garlic,2018,Whole Year ,Karnataka,174099.22,377621.5529,6.79,44550.5771,36720.8244,80146.4149,79328.734,49581.0165,30343.7534,9.2926,2.1728,105.9143,retail
Ginger,2018,Whole Year ,Karnataka,143691.93,341944.0314,5.3447,22624.5807,47353.6637,28541.8814,79388.3405,50657.8523,79018.819,9.7097,2.3765,41.71,direct
Gram,2018,Rabi       ,Karnataka,92055.44,426630.4634,1.4938,25425.9407,56302.4666,35651.3412,29626.4481,32236.786,38892.9939,10.3596,4.6366,39.4208,wholesale
Groundnut,2018,Kharif     ,Karnataka,155715.12,160102.6128,3.5308,50615.6961,47444.64,36305.5674,54015.7595,92581.0195,28456.0558,12.7652,1.0282,103.4796,retail
Groundnut,2018,Rabi       ,Karnataka,126399.36,180461.6906,5.1022,21488.9435,65707.1598,73281.1332,51322.9425,89986.8612,45525.0197,7.8085,1.4259,31.719,direct
Groundnut,2018,Summer     ,Karnataka,108820.8,196684.4653,3.589,19988.4602,62692.1476,19609.8207,51687.9535,58408.5791,36761.6129,9.3411,1.8042,30.9236,wholesale
Horse-gram,2018,Kharif     ,Karnataka,61204.48,378517.1636,5.7618,32056.9674,43169.462,49625.7529,30473.5394,38970.3417,27911.556,9.6515,6.1886,64.8251,retail
Horse-gram,2018,Rabi       ,Karnataka,48544.77,22645.8916,1.8333,28920.2493,77487.3151,22185.7915,70626.9416,81765.4904,30554.321,12.6197,0.4656,36.2004,direct
Jowar,2018,Kharif     ,Karnataka,77794.13,310966.4897,6.2177,56088.0675,38896.5441,76396.7635,20284.7855,32089.249,16503.2696,9.8067,3.9964,125.8866,wholesale
Jowar,2018,Rabi       ,Karnataka,83651.36,78484.7661,2.0952,39885.721,84502.1126,30493.2207,35334.9757,42497.9407,80850.1499,11.6497,0.9409,45.784,retail
Jowar,2018,Summer     ,Karnataka,119243.38,214222.463,5.6163,49353.4254,66873.4296,49898.4587,45186.3733,30758.6418,63574.1007,9.4963,1.7945,71.586,direct
Linseed,2018,Rabi       ,Karnataka,93551.05,254730.6039,6.5184,41856.0626,67071.3872,49562.9551,73809.8899,51674.228,126181.2181,9.3702,2.7257,54.4752,wholesale
Maize,2018,Kharif     ,Karnataka,80883.95,343423.1941,7.8376,30478.467,34232.9199,13432.1332,47383.0935,41823.8101,88844.1624,9.3023,4.2486,77.7261,retail
Maize,2018,Rabi       ,Karnataka,87372.17,118494.0942,5.8879,46138.2052,41274.3245,35044.1891,27596.791,55638.9187,18833.1029,12.2317,1.358,108.4266,direct
Maize,2018,Summer     ,Karnataka,39991.08,457334.7658,7.8667,54027.545,54576.7396,69990.4373,28256.0903,17647.3749,49593.5877,8.7203,11.4363,86.4173,wholesale
Mesta,2018,Whole Year ,Karnataka,24592.27,236764.6422,0.5238,50391.1605,52191.8006,55768.9375,15212.1996,24831.903,40438.6792,9.8649,9.6321,93.6535,retail
Moong(Green Gram),2018,Kharif     ,Karnataka,21114.24,263975.1016,9.0986,24953.5507,78300.7086,23147.9733,16043.0046,17266.2813,90404.1455,11.9601,12.5033,27.8196,direct
Moong(Green Gram),2018,Rabi       ,Karnataka,168240.4,364198.1982,1.4744,41387.0676,67355.83,89645.9644,34318.7843,11974.8634,50619.4985,14.3269,2.1631,53.641,wholesale
Moong(Green Gram),2018,Summer     ,Karnataka,57243.46,156637.0065,6.6445,24709.1107,88257.1378,20541.5445,74612.9335,75482.9265,81401.5173,13.0368,2.7354,27.16,retail
Niger seed,2018,Kharif     ,Karnataka,88044.86,282683.5789,3.2107,35980.2294,57035.9806,33965.4521,28432.5236,45540.3554,32269.7951,12.2608,3.2107,55.0766,direct
Onion,2018,Kharif     ,Karnataka,63476.92,31387.1242,7.76,39152.9733,90688.5786,41503.972,67653.2126,47436.5405,18670.4339,8.3323,0.4947,41.8749,wholesale
Onion,2018,Rabi       ,Karnataka,63095.83,465827.6299,5.0537,53821.42,48564.5826,18849.9906,26599.8735,37490.8492,63939.5676,12.0377,7.3817,96.7478,retail
Onion,2018,Summer     ,Karnataka,117392.29,373237.4827,8.9725,30346.5373,46566.6445,79436.9084,83466.0944,7987.4456,117143.3595,9.0307,3.1816,56.8905,direct
Other  Rabi pulses,2018,Rabi       ,Karnataka,28153.22,221522.7994,8.0413,36743.6194,89635.2459,40750.7088,61163.1075,74047.3071,18196.1815,8.5166,7.8667,39.7603,wholesale
Other Kharif pulses,2018,Kharif     ,Karnataka,31427.27,29008.5872,4.7142,57581.6347,72342.2023,52961.6702,47825.9567,38053.2552,47403.3568,8.3032,0.9215,77.212,retail
Potato,2018,Kharif     ,Karnataka,31878.22,415924.6122,9.1277,37113.8781,43462.9452,40730.6783,12561.3642,24133.988,70062.7799,11.5624,13.0465,74.5445,direct
Potato,2018,Rabi       ,Karnataka,15559.07,314831.7651,3.3659,22121.1022,76521.6607,85333.0146,18467.539,33194.467,39426.5133,9.6224,20.2342,25.2394,wholesale
Potato,2018,Summer     ,Karnataka,172061.29,149989.1891,5.1798,24013.7371,76734.5078,70534.9856,18806.4667,67234.5024,57372.1438,13.386,0.873,30.3513,retail
Ragi,2018,Kharif     ,Karnataka,95817.83,150705.796,6.6348,55273.7525,80307.2603,26374.1642,76928.5563,13977.1374,56739.6456,12.222,1.5714,66.7651,direct
Ragi,2018,Rabi       ,Karnataka,196051.17,148759.297,4.3456,36049.1188,87250.1323,65538.5932,15140.5457,9793.2073,39684.543,11.2617,0.7566,40.0804,wholesale
Ragi,2018,Summer     ,Karnataka,70375.66,75928.2535,8.0607,54324.0255,56737.5795,70843.5135,59392.1009,15988.2093,72502.3687,13.5121,1.0767,92.8775,retail
Rapeseed &Mustard,2018,Kharif     ,Karnataka,54649.78,28041.8949,6.8773,34611.0841,60244.6339,37273.2588,17815.9124,60051.7494,18019.5833,11.3005,0.5141,55.7265,direct
Rice,2018,Kharif     ,Karnataka,135773.4,461509.4227,7.6824,38332.9935,61797.2062,66545.2689,43622.549,52764.508,59495.1828,9.0889,3.395,54.1551,wholesale
Rice,2018,Rabi       ,Karnataka,147334.37,85064.0142,2.425,48373.9388,76817.2003,55768.1227,52272.9314,86548.8805,88605.1544,12.5033,0.582,61.0809,retail
Rice,2018,Summer     ,Karnataka,146167.52,476382.2193,3.8703,24893.7502,67554.195,28718.6445,20446.2323,45748.498,66090.4941,10.2044,3.2592,32.1749,direct
Safflower,2018,Rabi       ,Karnataka,103121.06,312921.5732,8.3032,56355.3316,75896.0107,86804.6016,54594.7719,22648.0159,108989.6947,13.0562,3.0361,64.8251,wholesale
Sannhamp,2018,Whole Year ,Karnataka,80276.17,95851.6461,7.954,21942.0014,80567.4337,51884.4755,12177.4188,53221.3004,71090.9605,9.4381,1.1931,26.4131,retail
Sesamum,2018,Kharif     ,Karnataka,181841.99,64615.1144,7.3041,55767.046,86441.8507,26448.6505,15113.5312,37931.8791,94559.6837,8.7979,0.3589,62.5747,direct
Small millets,2018,Kharif     ,Karnataka,123383.96,326924.532,4.1225,32658.8233,50328.2657,75325.8156,27756.3657,12863.0245,46007.9342,10.1753,2.6481,56.648,wholesale
